Reporting Period End Date,IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type,RCON2170
30/09/2022,37,10057,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET ,SPARTA,GA,31087,51,80081
30/09/2022,242,3850,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET ,XENIA,IL,62899,51,54001
30/09/2022,279,28868,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD ,MINEOLA,TX,75773,51,375439
30/09/2022,354,14083,0,0,101107475,BISON STATE BANK,223 MAIN STREET ,BISON,KS,67520,51,62288
30/09/2022,457,10202,0,0,91208332,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349,51,70092
30/09/2022,505,6959,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020,51,779553
30/09/2022,1155,17639,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD ,FREMONT,NE,68025,51,442028
30/09/2022,1351,9392,0,0,81513969,BANK OF GRANDIN,403 5TH STREET ,GRANDIN,MO,63943,51,198836
30/09/2022,1454,19184,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609,51,944159
30/09/2022,1669,3384,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE ,PARIS,TX,75460,51,402352
30/09/2022,1856,22430,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44 ,BURNS FLAT,OK,73624,51,44164
30/09/2022,2161,23597,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,75460,41,363549
30/09/2022,2732,17230,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625,51,714454
30/09/2022,2750,5408,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE ,GENOA,NE,68640,51,66571
30/09/2022,3252,5410,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343,51,311359
30/09/2022,3458,16103,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,51,73719
30/09/2022,3720,15671,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102,51,384461
30/09/2022,3971,28865,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,51,1091193
30/09/2022,4156,13157,0,0,101102124,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068,51,278627
30/09/2022,4231,16440,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,51,151583
30/09/2022,5069,24332,0,0,122237599,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,WEST HOLLYWOOD,CA,90069,51,524065
30/09/2022,5135,15496,0,14097,61202931,FIRST STATE BANK OF BLAKELY,2213 SOUTH MAIN STREET ,BLAKELY,GA,39823,51,569677
30/09/2022,5210,7506,0,0,31309945,ACNB BANK,16 LINCOLN SQUARE ,GETTYSBURG,PA,17325,51,2632381
30/09/2022,5461,19434,0,0,121125660,BAC COMMUNITY BANK,517 EAST WEBER AVENUE ,STOCKTON,CA,95202,51,862933
30/09/2022,5751,15194,0,0,101106625,KEARNY COUNTY BANK,221 NORTH MAIN STREET ,LAKIN,KS,67860,51,264833
30/09/2022,6039,15699,0,14102,61211964,PINELAND BANK,501 W 12TH ST ,ALMA,GA,31510,41,408718
30/09/2022,6329,9923,0,13430,53206741,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574,41,1549214
30/09/2022,7009,20015,0,0,21203970,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,70951191,51,606747
30/09/2022,7045,5779,0,0,83905326,"PEOPLES BANK, THE",100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220,41,272999
30/09/2022,7072,28870,702528,2528,221972234,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589,51,437119
30/09/2022,7456,13962,0,0,104110977,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739,51,133346
30/09/2022,7634,15904,0,0,61112034,"FOUR COUNTY BANK, THE",959 MAIN STREET ,ALLENTOWN,GA,31003,51,86080
30/09/2022,8033,23090,0,15605,65202830,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,805 HOSPITAL ROAD ,NEW ROADS,LA,70760,51,350174
30/09/2022,8462,3388,11595,0,111318584,"PERRYTON NATIONAL BANK, THE",825 SOUTH MAIN STREET ,PERRYTON,TX,790703556,51,171814
30/09/2022,8631,847,0,0,51501765,"PLEASANTS COUNTY BANK, THE",215 WASHINGTON STREET ,SAINT MARYS,WV,26170,51,78713
30/09/2022,9357,20268,0,0,91014924,FIDELITY BANK,7600 PARKLAWN AVENUE ,EDINA,MN,55435,51,645675
30/09/2022,9553,14311,0,0,104907708,ADAMS COUNTY BANK,401 N SMITH AVE ,KENESAW,NE,68956,51,228843
30/09/2022,9807,6423,0,9315,21204416,AMBOY BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,8857,41,2750970
30/09/2022,9955,15899,0,0,101101992,FUSION BANK,116 WEST 6TH STREET ,LARNED,KS,67550,51,199956
30/09/2022,10250,1607,0,0,91903831,"BANK OF ELK RIVER, THE",630 MAIN ST. ,ELK RIVER,MN,55330,51,628466
30/09/2022,10849,15050,0,0,82902003,FIRST STATE BANK,101 SOUTH CENTER STREET ,LONOKE,AR,72086,51,298611
30/09/2022,11145,8172,0,11663,72405604,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE ,BALDWIN,MI,49304,41,412375
30/09/2022,11640,19070,15284,0,84201029,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614,51,407432
30/09/2022,11837,5709,0,17705,61107861,"FARMERS BANK, THE",202 SOUTH MAIN STREET ,GREENSBORO,GA,30642,51,126864
30/09/2022,12030,17011,0,12295,61212866,FNB SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510,51,563861
30/09/2022,12142,12201,0,0,84202280,"CLEVELAND STATE BANK, THE",110 COMMERCE AVENUE ,CLEVELAND,MS,38732,51,306480
30/09/2022,12311,6560,7745,0,44000024,"HUNTINGTON NATIONAL BANK, THE",17 SOUTH HIGH STREET ,COLUMBUS,OH,43215,31,
30/09/2022,12647,10012,0,0,75904377,"PORTAGE COUNTY BANK, THE",1155 COUNTY ROAD D ,ALMOND,WI,549099777,51,207276
30/09/2022,12656,14944,0,0,101107624,EMERALD BANK,333 N. MAIN STREET ,BURDEN,KS,67019,51,22187
30/09/2022,12946,1291,0,0,82901635,FARMERS BANK & TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753,51,2479838
30/09/2022,13103,23622,0,8406,211370859,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,2780,41,3000958
30/09/2022,13251,10185,0,0,91907374,ELYSIAN BANK,121 EAST MAIN STREET ,ELYSIAN,MN,56028,51,66102
30/09/2022,13457,5425,0,0,104107786,BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147,51,26513
30/09/2022,14155,9378,0,0,101902146,F & C BANK,1006 EAGLE CREST DRIVE ,HOLDEN,MO,64040,51,311606
30/09/2022,14650,16795,0,0,103112730,BANK OF LOCUST GROVE,124 EAST MAIN STREET ,LOCUST GROVE,OK,74352,51,49112
30/09/2022,14753,18101,0,0,101104711,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",111 NORTH MAIN STREET ,BUCKLIN,KS,67834,51,62656
30/09/2022,14865,16243,0,0,123203535,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97836,51,869860
30/09/2022,14977,30291,0,0,311372252,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339,41,56937
30/09/2022,16551,10956,0,0,91907471,NORTHVIEW BANK,510 MAIN STREET ,SANDSTONE,MN,55072,51,431712
30/09/2022,17110,26189,0,0,36002085,"HAVERFORD TRUST COMPANY, THE",100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450,RADNOR,PA,19087,41,154758
30/09/2022,17147,4365,0,11365,74900657,FIRST MERCHANTS BANK,200 EAST JACKSON STREET ,MUNCIE,IN,47305,41,17705470
30/09/2022,17259,26260,20838,0,103102494,"FIRST NATIONAL BANK IN MARLOW, THE",301 WEST MAIN STREET ,MARLOW,OK,73055,51,67834
30/09/2022,17950,2224,10844,0,92903542,"BANK OF BRIDGER, NATIONAL ASSOCIATION",101 S. MAIN STREET ,BRIDGER,MT,59014,51,750029
30/09/2022,17978,29904,704307,4307,264271280,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326,51,326711
30/09/2022,18050,3091,4093,0,114904953,"FIRST NATIONAL BANK OF BASTROP, THE",489 HIGHWAY 71 WEST ,BASTROP,TX,786023217,51,952975
30/09/2022,18827,7900,5073,0,43311497,"NEXTIER BANK, NA",222 MARKET STREET ,KITTANNING,PA,16201,51,2038576
30/09/2022,18836,9998,0,12053,52203703,CAPON VALLEY BANK,2 W MAIN ST ,WARDENSVILLE,WV,26851,51,200966
30/09/2022,18854,4147,0,0,103103778,BANK7,1039 NW 63RD STREET ,OKLAHOMA CITY,OK,73116,41,1579979
30/09/2022,19356,9881,0,0,103110907,SECURITY BANK AND TRUST COMPANY,2 SOUTH MAIN STREET ,MIAMI,OK,74354,51,115208
30/09/2022,19936,15477,0,12677,61201042,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709,51,421697
30/09/2022,19972,34711,0,9008,243374108,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074,51,124666
30/09/2022,20053,10015,0,0,91806242,SECURITY BANK,112 EAST MAIN ST. ,NEW AUBURN,WI,54757,51,150653
30/09/2022,20633,6803,0,0,51501723,MCNB BANK AND TRUST CO.,75 WYOMING ST ,WELCH,WV,24801,51,355012
30/09/2022,20857,10998,0,0,91902793,FM BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241,51,496147
30/09/2022,21256,16583,0,0,101114565,STATE BANK OF BURRTON,200 NORTH BURRTON ,BURRTON,KS,67020,51,12612
30/09/2022,21359,22263,0,0,91205128,AMERICAN STATE BANK OF GRYGLA,102 SOUTH MAIN AVENUE ,GRYGLA,MN,56727,51,70485
30/09/2022,21658,12511,0,0,91803355,ALLIANCE BANK,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755,41,217627
30/09/2022,22048,1753,0,0,82901567,UNION BANK & TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655,51,284829
30/09/2022,22543,8162,0,11909,72406506,STATE SAVINGS BANK,703 MAIN STREET ,FRANKFORT,MI,49635,51,398896
30/09/2022,22552,10576,0,0,91204462,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939,51,126776
30/09/2022,22730,2452,0,0,51502159,WEST UNION BANK,212 MAIN STREET ,WEST UNION,WV,26456,51,258183
30/09/2022,23456,5162,6906,0,91204763,"FIRST NATIONAL BANK OF HENNING, THE",106 MN HWY 78 NORTH ,OTTERTAIL,MN,56571,51,299311
30/09/2022,23504,6976,0,9545,21406667,DIME COMMUNITY BANK,2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932,41,12868663
30/09/2022,23643,90,0,0,82905343,COMMERCIAL BANK & TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655,51,247341
30/09/2022,23755,5357,11412,0,91809980,FIRST NATIONAL COMMUNITY BANK,109 EAST SECOND STREET ,NEW RICHMOND,WI,54017,51,296207
30/09/2022,24006,15995,0,17455,221970980,PCSB BANK,"2651 STRANG BOULEVARD, SUITE 100 ",YORKTOWN HEIGHTS,NY,10598,51,1940423
30/09/2022,24378,32307,0,8123,241271054,"GALION BUILDING AND LOAN BANK, THE",135 S MARKET STREET ,GALION,OH,44833,51,75394
30/09/2022,24659,10178,0,0,91915722,PRODUCE STATE BANK,109 PARK AVENUE WEST ,HOLLANDALE,MN,56045,51,126576
30/09/2022,24668,3402,10646,0,111912498,BTH BANK NATIONAL ASSOCIATION,412 E GOODE ST ,QUITMAN,TX,75783,51,1821396
30/09/2022,24949,12788,0,0,75901590,BARABOO STATE BANK,101 THIRD AVENUE ,BARABOO,WI,53913,51,523883
30/09/2022,25357,20093,0,0,103001456,ALL AMERICA BANK,200 S. ROCKWELL AVENUE ,OKLAHOMA CITY,OK,73128,51,492645
30/09/2022,25647,22536,0,0,71924681,FIRST SECURE BANK AND TRUST CO.,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465,41,340481
30/09/2022,26457,16423,0,0,101918279,LA MONTE COMMUNITY BANK,201 EAST FRONT STREET ,LA MONTE,MO,65337,41,44274
30/09/2022,26765,3405,0,0,114915272,VANTAGE BANK TEXAS,"45 NE LOOP 410, SUITE 500 ",SAN ANTONIO,TX,78216,51,3408470
30/09/2022,27070,29294,703235,3235,291571270,PREVAIL BANK,675 EAST BROADWAY AVENUE ,MEDFORD,WI,54451,51,914227
30/09/2022,27548,14078,0,0,275971854,BLACKHAWK BANK,400 BROAD STREET ,BELOIT,WI,53511,51,1374112
30/09/2022,27614,10663,0,0,41208719,"ANDOVER BANK, THE",19 PUBLIC SQUARE ,ANDOVER,OH,440030519,51,580895
30/09/2022,27847,1527,0,0,82904056,DIAMOND BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958,51,760709
30/09/2022,28013,28710,718063,18063,226071457,NORTHFIELD BANK,1731 VICTORY BOULEVARD ,STATEN ISLAND,NY,10314,41,5687698
30/09/2022,28152,11415,0,0,91908179,HARVEST BANK,75 NORTH MAIN STREET ,KIMBALL,MN,55353,41,212261
30/09/2022,28675,29293,703234,3234,291871226,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",1390 SECOND AVE. ,CUMBERLAND,WI,54829,41,233377
30/09/2022,28732,1475,0,0,64102384,PEOPLES BANK & TRUST COMPANY,1203 HILLSBORO BOULEVARD ,MANCHESTER,TN,37355,51,153922
30/09/2022,29476,31711,0,0,284170109,RIVERBANK,1700 OLD COUNTY ROAD ,POCAHONTAS,AR,72455,51,93679
30/09/2022,29636,12204,0,10889,65302154,"CITIZENS BANK OF PHILADELPHIA, THE",521 MAIN STREET ,PHILADELPHIA,MS,39350,51,1328121
30/09/2022,29878,30303,705138,5138,221472792,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,56-18 69TH ST ,MASPETH,NY,11378,41,2158142
30/09/2022,30052,26658,0,0,111316829,AMISTAD BANK,1301 VETERANS BLVD ,DEL RIO,TX,788403621,51,52973
30/09/2022,30502,14240,0,0,11700425,NORTHWAY BANK,9 MAIN STREET ,BERLIN,NH,3570,51,1313807
30/09/2022,30650,8193,0,0,91008299,LAKE COMMUNITY BANK,1964 W. WAYZATA BLVD. ,LONG LAKE,MN,55356,51,162373
30/09/2022,30810,5649,0,0,31100649,DISCOVER BANK,502 EAST MARKET STREET ,GREENWOOD,DE,19950,31,
30/09/2022,31134,2160,7899,11878,61202245,"FIRST NATIONAL BANK OF WAYNESBORO, THE",626 LIBERTY ST ,WAYNESBORO,GA,30830,41,197916
30/09/2022,31255,17612,0,0,113001077,CENTRAL BANK,11201 CLAY ROAD ,HOUSTON,TX,770415578,41,958808
30/09/2022,31657,11904,0,0,111909443,"FIRST STATE BANK OF BEN WHEELER, TEXAS",14269 STATE HWY 64 ,BEN WHEELER,TX,75754,51,199548
30/09/2022,31826,6863,9924,14630,51403818,POWELL VALLEY NATIONAL BANK,33785 MAIN STREET ,JONESVILLE,VA,24263,41,431992
30/09/2022,31835,8243,0,9803,65302675,BANK OF ANGUILLA,130 HOLLAND STREET ,ANGUILLA,MS,38721,51,171412
30/09/2022,32234,3639,1926,0,71103952,FIRST NATIONAL BANK AND TRUST COMPANY,2 KELLI COURT ,CLINTON,IL,61727,51,408323
30/09/2022,32766,21693,0,0,111906048,LAKESIDE BANK,2805 RIDGE ROAD ,ROCKWALL,TX,75032,51,243038
30/09/2022,32971,28894,702578,2578,274970607,SECURITY FEDERAL SAVINGS BANK,314 FOURTH STREET ,LOGANSPORT,IN,46947,51,369580
30/09/2022,33147,1027,0,0,84101051,FARMERS BANK AND TRUST COMPANY,400 WEST MAIN STREET ,BLYTHEVILLE,AR,72315,51,341998
30/09/2022,33259,21714,0,0,96005093,PREMIER BANK,2866 WHITE BEAR AVE. ,MAPLEWOOD,MN,55109,51,1032937
30/09/2022,33268,1213,0,0,111307485,"ROSCOE STATE BANK, THE",117 CYPRESS STREET ,ROSCOE,TX,79545,51,279387
30/09/2022,33370,31723,707384,7384,242170374,"HOME SAVINGS BANK, FSB",202 ELM STREET ,LUDLOW,KY,41016,51,27616
30/09/2022,33839,10075,0,0,71112354,PEOPLES STATE BANK OF COLFAX,101 WEST MAIN STREET ,COLFAX,IL,61728,51,43892
30/09/2022,33857,15545,0,0,104913381,FRONTIER BANK,"13333 CALIFORNIA ST, SUITE 100 ",OMAHA,NE,68154,41,1170017
30/09/2022,34434,22081,0,15636,65302468,MAGNOLIA STATE BANK,28 HIGHWAY 528 ,BAY SPRINGS,MS,39422,51,433832
30/09/2022,34537,131,14838,15273,67005158,SEACOAST NATIONAL BANK,815 COLORADO AVENUE ,STUART,FL,34994,41,10345212
30/09/2022,34555,14695,0,0,81507014,MA BANK,1513 NORTH MISSOURI STREET ,MACON,MO,63552,41,351030
30/09/2022,34742,13083,0,0,82901952,FIRST WESTERN BANK,80 WEST MAIN STREET ,BOONEVILLE,AR,72927,51,602225
30/09/2022,35057,1946,0,0,81506390,ALLIANT BANK,101 EAST BROADWAY ,MADISON,MO,65263,41,224414
30/09/2022,35301,14,0,0,11000028,STATE STREET BANK AND TRUST COMPANY,ONE LINCOLN STREET ,BOSTON,MA,2111,31,
30/09/2022,35646,11235,0,0,75904597,BONDUEL STATE BANK,130 NORTH CECIL STREET ,BONDUEL,WI,54107,51,100898
30/09/2022,35879,30313,0,0,275971029,EAST WISCONSIN SAVINGS BANK,109 WEST SECOND STREET ,KAUKAUNA,WI,54130,51,289599
30/09/2022,36456,15907,0,0,104113408,COMMUNITY FIRST BANK,122 S. COMMERCIAL ST ,MAYWOOD,NE,69038,51,117507
30/09/2022,36933,19163,0,14828,61101113,FIRST STATE BANK,300 BROAD STREET ,WRENS,GA,30833,51,330051
30/09/2022,37051,13030,0,0,91809524,OAKWOOD BANK,40214 SOUTH EKERN AVENUE ,PIGEON FALLS,WI,54760,51,114719
30/09/2022,37341,21085,0,0,75907743,BANK OF ONTARIO,315 MAIN STREET ,ONTARIO,WI,54651,51,73302
30/09/2022,37435,172,0,10091,61107515,UNITED BANK,685 GRIFFIN STREET ,ZEBULON,GA,30295,51,2379798
30/09/2022,37640,17393,0,0,83904563,GERMAN AMERICAN BANK,711 MAIN STREET ,JASPER,IN,47546,41,6251580
30/09/2022,37659,12758,0,0,103111977,"FARMERS STATE BANK, ALLEN, OKLAHOMA",201 EAST BROADWAY ,ALLEN,OK,74825,41,52043
30/09/2022,37949,11711,0,0,71119289,BANK OF RANTOUL,201 EAST CHAMPAIGN AVENUE ,RANTOUL,IL,61866,51,257576
30/09/2022,38740,13112,0,0,74912865,OWEN COUNTY STATE BANK,201 WEST MORGAN STREET ,SPENCER,IN,47460,51,319100
30/09/2022,39327,5874,0,0,52101012,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",24 NORTH MAIN STREET ,BERLIN,MD,21811,51,931320
30/09/2022,39756,4032,0,0,103112523,NBC OKLAHOMA,13401 NORTH PENNSYLVANIA ,OKLAHOMA CITY,OK,73120,41,909026
30/09/2022,40033,11817,0,17580,65303810,RICHTON BANK & TRUST COMPANY,114 S. FRONT STREET ,RICHTON,MS,39476,51,56826
30/09/2022,40499,59070,0,0,211381372,HARBORONE BANK,770 OAK STREET ,BROCKTON,MA,2301,41,4991626
30/09/2022,40855,10980,0,0,91207317,ESB BANK,115 HIGHWAY 44 ,CALEDONIA,MN,55921,51,156965
30/09/2022,41553,12283,0,0,103101505,FIRST STATE BANK,102 WEST MAIN STREET ,ANADARKO,OK,73005,51,107472
30/09/2022,41629,6913,0,15369,51404325,PIONEER BANK,252 E MAIN STREET ,STANLEY,VA,22851,51,305611
30/09/2022,41825,14017,0,0,55001258,MIDDLETOWN VALLEY BANK,24 WEST MAIN STREET ,MIDDLETOWN,MD,21769,41,909859
30/09/2022,42037,70,0,0,62102593,PEOPLES EXCHANGE BANK,2013 HIGHWAY 21 BYPASS ,MONROEVILLE,AL,36460,51,93647
30/09/2022,42354,3110,8573,0,111303489,"COMMERCIAL NATIONAL BANK OF BRADY, THE",105 E. 2ND STREET ,BRADY,TX,76825,51,235803
30/09/2022,42372,30315,705153,5153,253170884,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,320 EAST MAIN STREET ,LINCOLNTON,NC,28092,51,451708
30/09/2022,42420,7468,0,0,43306826,FIRST COMMONWEALTH BANK,600 PHILADELPHIA ST ,INDIANA,PA,15701,41,9550335
30/09/2022,42448,3887,10004,0,84100793,FIRST NATIONAL BANK,200 WEST COURT STREET ,PARAGOULD,AR,72450,41,2331371
30/09/2022,42457,12246,0,0,104102642,COMMERCIAL BANK,401 SOUTH MAIN STREET ,NELSON,NE,68961,51,62555
30/09/2022,43052,9036,0,0,91510075,SECURITY STATE BANK,7865 U.S. HIGHWAY 2 ,IRON RIVER,WI,54847,51,123586
