Reporting Period End Date,IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type,RCON2170
30/09/2022,43351,17685,0,0,101106528,PEOPLES STATE BANK,2401 N SETH CHILD ROAD ,MANHATTAN,KS,66502,51,426149
30/09/2022,43856,5141,6991,0,91200848,"MINERS NATIONAL BANK OF EVELETH, THE",401 GRANT AVENUE ,EVELETH,MN,55734,51,88749
30/09/2022,43959,18155,0,0,113123528,BRIDGE CITY STATE BANK,701 W. ROUNDBUNCH ,BRIDGE CITY,TX,77611,51,203571
30/09/2022,44040,4364,9784,0,74908426,"FIRST NATIONAL BANK OF MONTEREY, THE",6222 EAST MAIN STREET ,MONTEREY,IN,46960,51,400786
30/09/2022,44433,25258,18283,14891,67011812,"INTERCREDIT BANK, NATIONAL ASSOCIATION",396 ALHAMBRA CIRCLE SUITE 250,CORAL GABLES,FL,33134,41,504372
30/09/2022,44741,9647,0,0,74905225,CITIZENS BANK,33 NORTH INDIANA STREET ,MOORESVILLE,IN,46158,51,643981
30/09/2022,44750,16126,0,0,81518139,CITIZENS BANK OF THE MIDWEST,1515 MARTIN SPRINGS DRIVE ,ROLLA,MO,65401,51,183622
30/09/2022,44929,6637,46,0,44106384,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",86 NORTH KENNEBEC AVENUE ,MCCONNELSVILLE,OH,43756,41,191459
30/09/2022,45038,5740,0,0,71112503,STATE BANK OF DAVIS,100 IL ROUTE 75 ,DAVIS,IL,61019,41,167846
30/09/2022,45047,14534,14209,0,82902074,"FIRST NATIONAL BANK AT PARIS, THE",11 EAST MAIN STREET ,PARIS,AR,72855,51,238240
30/09/2022,45056,9818,0,0,104908134,PLATTE VALLEY BANK,606 MAIN ,NORTH BEND,NE,68649,51,108830
30/09/2022,45430,22070,0,0,64202873,JOHNSON COUNTY BANK,241 WEST MAIN STREET ,MOUNTAIN CITY,TN,37683,51,148972
30/09/2022,45458,17927,0,0,101109130,VINTAGE BANK KANSAS,101 SOUTH MAIN ,LEON,KS,67074,51,216848
30/09/2022,45551,5170,0,0,73920829,BANK MIDWEST,1525 18TH STREET ,SPIRIT LAKE,IA,51360,51,1224220
30/09/2022,45560,16470,0,0,114000763,JEFFERSON BANK,"1777 NE LOOP 410, SUITE 201 ",SAN ANTONIO,TX,78217,41,2705123
30/09/2022,45775,28908,0,2601,231371692,IRON WORKERS SAVINGS BANK,3333 CONCORD ROAD ,ASTON,PA,19014,51,210607
30/09/2022,46053,1610,0,0,91900559,"STATE BANK OF FARIBAULT, THE",428 CENTRAL AVE. ,FARIBAULT,MN,55021,51,284324
30/09/2022,46941,2765,0,0,83901773,FARMERS BANK AND TRUST COMPANY,111 WEST WASHINGTON ,PRINCETON,KY,42445,51,192635
30/09/2022,47247,5033,0,11837,72410903,"DART BANK, THE",368 SOUTH PARK STREET ,MASON,MI,488540040,41,816804
30/09/2022,47256,27053,0,0,91512594,COMMUNITY FINANCIAL BANK,450 CENTER STREET ,PRENTICE,WI,54556,51,48092
30/09/2022,47452,25065,18162,0,111103333,FIRST NATIONAL BANK OF BENTON,104 SIBLEY DRIVE ,BENTON,LA,71006,51,81505
30/09/2022,47500,18038,0,7619,211770190,CLAREMONT SAVINGS BANK,145 BROAD STREET ,CLAREMONT,NH,3743,51,492676
30/09/2022,48057,4775,0,0,101102645,PRAIRIE BANK OF KANSAS,200 SOUTH MAIN ,STAFFORD,KS,67578,51,135258
30/09/2022,48150,16778,0,0,91916200,FRANKLIN STATE BANK,278 2ND AVE. E. ,FRANKLIN,MN,55333,51,38931
30/09/2022,48374,28905,0,0,282970110,FIRST FINANCIAL BANK,214 NORTH WASHINGTON ,EL DORADO,AR,71730,51,1417902
30/09/2022,48440,9517,0,0,75904856,CLEVELAND STATE BANK,1250 WEST WASHINGTON AVENUE ,CLEVELAND,WI,53015,51,183330
30/09/2022,49054,10212,0,0,91912576,COMMERCE BANK,101 CENTRAL AVENUE SOUTH ,GENEVA,MN,56035,51,246329
30/09/2022,49148,9265,0,0,71105866,RUSHVILLE STATE BANK,100 EAST LAFAYETTE STREET ,RUSHVILLE,IL,62681,51,123422
30/09/2022,49241,19371,15482,0,82901088,"RELYANCE BANK, NATIONAL ASSOCIATION",8500 SHERIDAN ROAD ,WHITE HALL,AR,71602,51,1180400
30/09/2022,49652,16473,0,0,101102438,FIRST BANK,128 SOUTH BROADWAY ,STERLING,KS,67579,51,146170
30/09/2022,49858,26727,0,0,114917157,BANK OF SOUTH TEXAS,1421 EAST NOLANA AVENUE ,MCALLEN,TX,78504,51,153365
30/09/2022,49951,4041,0,0,103110305,"FIRST SECURITY BANK, THE",15 SOUTH DOUGLAS AVENUE ,BEAVER,OK,73932,51,127617
30/09/2022,50144,14561,0,0,83906228,STATE BANK OF MEDORA,24 EAST MAIN STREET ,MEDORA,IN,47260,51,101707
30/09/2022,50461,23242,0,0,121038265,CALIFORNIA PACIFIC BANK,"100 MONTGOMERY STREET, SUITE 2250 ",SAN FRANCISCO,CA,94104,41,85987
30/09/2022,51253,9176,0,0,84307761,APEX BANK,102 EAST MAIN STREET ,CAMDEN,TN,38320,41,1109929
30/09/2022,51356,22839,0,0,103102300,LATIMER STATE BANK,301 WEST MAIN STREET ,WILBURTON,OK,74578,41,66833
30/09/2022,51459,16436,0,0,101110271,CENTERA BANK,119 SOUTH INMAN ,SUBLETTE,KS,67877,51,326412
