Reporting Period End Date,IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type,RCON2170
31/12/2020,37,10057,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET ,SPARTA,GA,31087,51,87398
31/12/2020,242,3850,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET ,XENIA,IL,62899,51,51841
31/12/2020,279,28868,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD ,MINEOLA,TX,75773,51,299643
31/12/2020,354,14083,0,0,101107475,BISON STATE BANK,223 MAIN STREET ,BISON,KS,67520,51,20368
31/12/2020,457,10202,0,0,91208332,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349,51,58927
31/12/2020,505,6959,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020,51,687274
31/12/2020,1155,17639,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD ,FREMONT,NE,68025,51,281394
31/12/2020,1351,9392,0,0,81513969,BANK OF GRANDIN,403 5TH STREET ,GRANDIN,MO,63943,51,186703
31/12/2020,1454,19184,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609,51,930784
31/12/2020,1669,3384,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE ,PARIS,TX,75460,51,351611
31/12/2020,1856,22430,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44 ,BURNS FLAT,OK,73624,51,77372
31/12/2020,2161,23597,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,75460,41,279336
31/12/2020,2732,17230,14688,0,71004446,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625,51,690727
31/12/2020,2750,5408,0,0,104901940,GENOA COMMUNITY BANK,502 WILLIARD AVENUE ,GENOA,NE,68640,51,63872
31/12/2020,3252,5410,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343,51,240659
31/12/2020,3458,16103,0,0,101918169,FARMERS BANK OF GREEN CITY,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,51,67456
31/12/2020,3720,15671,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102,51,315828
31/12/2020,3971,28865,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,51,843294
31/12/2020,4156,13157,0,0,101102124,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068,51,275440
31/12/2020,4231,16440,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,51,138784
