Reporting Period End Date,IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type,RCON2170
31/12/2021,3252,5410,8521,0,104102781,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343,51,300302
31/12/2021,3458,16103,0,0,101918169,FARMBANK,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,51,72629
31/12/2021,3720,15671,0,0,53206738,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102,51,380623
31/12/2021,3971,28865,702518,2518,291970033,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,51,934065
31/12/2021,4156,13157,0,0,101102124,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068,51,296622
31/12/2021,4231,16440,0,0,61212345,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,51,153879
31/12/2021,5069,24332,0,0,122237599,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,WEST HOLLYWOOD,CA,90069,51,484000
31/12/2021,5135,15496,0,14097,61202931,FIRST STATE BANK OF BLAKELY,2213 SOUTH MAIN STREET ,BLAKELY,GA,39823,51,584146
31/12/2021,5210,7506,0,0,31309945,ACNB BANK,16 LINCOLN SQUARE ,GETTYSBURG,PA,17325,51,2772684
31/12/2021,5461,19434,0,0,121125660,BAC COMMUNITY BANK,517 EAST WEBER AVENUE ,STOCKTON,CA,95202,51,847355
31/12/2021,5751,15194,0,0,101106625,KEARNY COUNTY BANK,221 NORTH MAIN STREET ,LAKIN,KS,67860,51,255915
31/12/2021,6039,15699,0,14102,61211964,PINELAND BANK,501 W 12TH ST ,ALMA,GA,31510,41,398334
31/12/2021,6329,9923,0,13430,53206741,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574,41,1410854
31/12/2021,7009,20015,0,0,21203970,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,70951191,51,1485593
31/12/2021,7045,5779,0,0,83905326,"PEOPLES BANK, THE",100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220,41,271995
31/12/2021,7072,28870,702528,2528,221972234,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589,51,383069
31/12/2021,7456,13962,0,0,104110977,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739,51,121939
31/12/2021,7634,15904,0,0,61112034,"FOUR COUNTY BANK, THE",959 MAIN STREET ,ALLENTOWN,GA,31003,51,84971
31/12/2021,8033,23090,0,15605,65202830,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,805 HOSPITAL ROAD ,NEW ROADS,LA,70760,51,383171
31/12/2021,8462,3388,11595,0,111318584,"PERRYTON NATIONAL BANK, THE",825 SOUTH MAIN STREET ,PERRYTON,TX,790703556,51,168811
31/12/2021,8631,847,0,0,51501765,"PLEASANTS COUNTY BANK, THE",215 WASHINGTON STREET ,SAINT MARYS,WV,26170,51,74378
31/12/2021,9357,20268,0,0,91014924,FIDELITY BANK,7600 PARKLAWN AVENUE ,EDINA,MN,55435,51,659839
31/12/2021,9553,14311,0,0,104907708,ADAMS COUNTY BANK,401 N SMITH AVE ,KENESAW,NE,68956,51,221337
31/12/2021,9807,6423,0,9315,21204416,AMBOY BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,8857,41,2888931
31/12/2021,9955,15899,0,0,101101992,FUSION BANK,116 WEST 6TH STREET ,LARNED,KS,67550,51,195132
31/12/2021,10250,1607,0,0,91903831,"BANK OF ELK RIVER, THE",630 MAIN ST. ,ELK RIVER,MN,55330,51,635628
31/12/2021,10849,15050,0,0,82902003,FIRST STATE BANK,101 SOUTH CENTER STREET ,LONOKE,AR,72086,51,298155
31/12/2021,11145,8172,0,11663,72405604,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE ,BALDWIN,MI,49304,41,408130
31/12/2021,11640,19070,15284,0,84201029,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614,51,405812
31/12/2021,11837,5709,0,17705,61107861,"FARMERS BANK, THE",202 SOUTH MAIN STREET ,GREENSBORO,GA,30642,51,143448
31/12/2021,12030,17011,0,12295,61212866,FNB SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510,51,534048
31/12/2021,12142,12201,0,0,84202280,"CLEVELAND STATE BANK, THE",110 COMMERCE AVENUE ,CLEVELAND,MS,38732,51,339992
31/12/2021,12311,6560,7745,0,44000024,"HUNTINGTON NATIONAL BANK, THE",17 SOUTH HIGH STREET ,COLUMBUS,OH,43215,31,
31/12/2021,12647,10012,0,0,75904377,"PORTAGE COUNTY BANK, THE",1155 COUNTY ROAD D ,ALMOND,WI,549099777,51,202597
31/12/2021,12656,14944,0,0,101107624,EMERALD BANK,333 N. MAIN STREET ,BURDEN,KS,67019,51,21539
31/12/2021,12946,1291,0,0,82901635,FARMERS BANK & TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753,51,2106370
31/12/2021,13103,23622,0,8406,211370859,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,2780,41,2993290
31/12/2021,13251,10185,0,0,91907374,ELYSIAN BANK,121 EAST MAIN STREET ,ELYSIAN,MN,56028,51,64602
31/12/2021,13457,5425,0,0,104107786,BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147,51,24050
31/12/2021,14155,9378,0,0,101902146,F & C BANK,1006 EAGLE CREST DRIVE ,HOLDEN,MO,64040,51,292718
31/12/2021,14650,16795,0,0,103112730,BANK OF LOCUST GROVE,124 EAST MAIN STREET ,LOCUST GROVE,OK,74352,51,49288
31/12/2021,14753,18101,0,0,101104711,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",111 NORTH MAIN STREET ,BUCKLIN,KS,67834,51,62370
31/12/2021,14865,16243,0,0,123203535,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97836,51,820630
31/12/2021,14977,30291,0,0,311372252,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339,41,52326
31/12/2021,16551,10956,0,0,91907471,NORTHVIEW BANK,510 MAIN STREET ,SANDSTONE,MN,55072,51,439943
31/12/2021,17110,26189,0,0,36002085,"HAVERFORD TRUST COMPANY, THE",100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450,RADNOR,PA,19087,41,177382
31/12/2021,17147,4365,0,11365,74900657,FIRST MERCHANTS BANK,200 EAST JACKSON STREET ,MUNCIE,IN,47305,41,15432095
31/12/2021,17259,26260,20838,0,103102494,"FIRST NATIONAL BANK IN MARLOW, THE",301 WEST MAIN STREET ,MARLOW,OK,73055,51,62820
31/12/2021,17950,2224,10844,0,92903542,"BANK OF BRIDGER, NATIONAL ASSOCIATION",101 S. MAIN STREET ,BRIDGER,MT,59014,51,755443
31/12/2021,17978,29904,704307,4307,264271280,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326,51,321517
31/12/2021,18050,3091,4093,0,114904953,"FIRST NATIONAL BANK OF BASTROP, THE",489 HIGHWAY 71 WEST ,BASTROP,TX,786023217,51,891512
31/12/2021,18827,7900,5073,0,43311497,"NEXTIER BANK, NA",222 MARKET STREET ,KITTANNING,PA,16201,51,1912495
31/12/2021,18836,9998,0,12053,52203703,CAPON VALLEY BANK,2 W MAIN ST ,WARDENSVILLE,WV,26851,51,199398
31/12/2021,18854,4147,0,0,103103778,BANK7,1039 NW 63RD STREET ,OKLAHOMA CITY,OK,73116,41,1348932
31/12/2021,19356,9881,0,0,103110907,SECURITY BANK AND TRUST COMPANY,2 SOUTH MAIN STREET ,MIAMI,OK,74354,51,98612
31/12/2021,19936,15477,0,12677,61201042,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709,51,431701
31/12/2021,19972,34711,0,9008,243374108,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074,51,125247
31/12/2021,20053,10015,0,0,91806242,SECURITY BANK,112 EAST MAIN ST. ,NEW AUBURN,WI,54757,51,149624
31/12/2021,20633,6803,0,0,51501723,MCNB BANK AND TRUST CO.,75 WYOMING ST ,WELCH,WV,24801,51,349176
31/12/2021,20857,10998,0,0,91902793,FM BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241,51,464966
31/12/2021,21256,16583,0,0,101114565,STATE BANK OF BURRTON,200 NORTH BURRTON ,BURRTON,KS,67020,51,12691
31/12/2021,21359,22263,0,0,91205128,AMERICAN STATE BANK OF GRYGLA,102 SOUTH MAIN AVENUE ,GRYGLA,MN,56727,51,74143
31/12/2021,21658,12511,0,0,91803355,ALLIANCE BANK,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755,41,222330
31/12/2021,22048,1753,0,0,82901567,UNION BANK & TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655,51,279184
31/12/2021,22543,8162,0,11909,72406506,STATE SAVINGS BANK,703 MAIN STREET ,FRANKFORT,MI,49635,51,354486
31/12/2021,22552,10576,0,0,91204462,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939,51,129613
31/12/2021,22730,2452,0,0,51502159,WEST UNION BANK,212 MAIN STREET ,WEST UNION,WV,26456,51,239603
31/12/2021,23456,5162,6906,0,91204763,"FIRST NATIONAL BANK OF HENNING, THE",106 MN HWY 78 NORTH ,OTTERTAIL,MN,56571,51,297851
31/12/2021,23504,6976,0,9545,21406667,DIME COMMUNITY BANK,2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932,41,12056919
31/12/2021,23643,90,0,0,82905343,COMMERCIAL BANK & TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655,51,257695
31/12/2021,23755,5357,11412,0,91809980,FIRST NATIONAL COMMUNITY BANK,109 EAST SECOND STREET ,NEW RICHMOND,WI,54017,51,314483
31/12/2021,24006,15995,0,17455,221970980,PCSB BANK,"2651 STRANG BOULEVARD, SUITE 100 ",YORKTOWN HEIGHTS,NY,10598,51,1885763
31/12/2021,24378,32307,0,8123,241271054,"GALION BUILDING AND LOAN BANK, THE",135 S MARKET STREET ,GALION,OH,44833,51,74927
31/12/2021,24659,10178,0,0,91915722,PRODUCE STATE BANK,109 PARK AVENUE WEST ,HOLLANDALE,MN,56045,51,121534
31/12/2021,24668,3402,10646,0,111912498,BTH BANK NATIONAL ASSOCIATION,412 E GOODE ST ,QUITMAN,TX,75783,51,1988688
31/12/2021,24949,12788,0,0,75901590,BARABOO STATE BANK,101 THIRD AVENUE ,BARABOO,WI,53913,51,531279
31/12/2021,25357,20093,0,0,103001456,ALL AMERICA BANK,200 S. ROCKWELL AVENUE ,OKLAHOMA CITY,OK,73128,51,463813
31/12/2021,25647,22536,0,0,71924681,FIRST SECURE BANK AND TRUST CO.,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465,41,356590
31/12/2021,26457,16423,0,0,101918279,LA MONTE COMMUNITY BANK,201 EAST FRONT STREET ,LA MONTE,MO,65337,41,42174
31/12/2021,26765,3405,0,0,114915272,VANTAGE BANK TEXAS,"45 NE LOOP 410, SUITE 500 ",SAN ANTONIO,TX,78216,51,3079855
31/12/2021,27070,29294,703235,3235,291571270,PREVAIL BANK,675 EAST BROADWAY AVENUE ,MEDFORD,WI,54451,51,941811
31/12/2021,27548,14078,0,0,275971854,BLACKHAWK BANK,400 BROAD STREET ,BELOIT,WI,53511,51,1328105
31/12/2021,27614,10663,0,0,41208719,"ANDOVER BANK, THE",19 PUBLIC SQUARE ,ANDOVER,OH,440030519,51,574534
31/12/2021,27847,1527,0,0,82904056,DIAMOND BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958,51,759875
31/12/2021,28013,28710,718063,18063,226071457,NORTHFIELD BANK,1731 VICTORY BOULEVARD ,STATEN ISLAND,NY,10314,41,5435707
31/12/2021,28152,11415,0,0,91908179,HARVEST BANK,75 NORTH MAIN STREET ,KIMBALL,MN,55353,41,207037
31/12/2021,28675,29293,703234,3234,291871226,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",1390 SECOND AVE. ,CUMBERLAND,WI,54829,41,210034
31/12/2021,28732,1475,0,0,64102384,PEOPLES BANK & TRUST COMPANY,1203 HILLSBORO BOULEVARD ,MANCHESTER,TN,37355,51,147386
31/12/2021,29476,31711,0,0,284170109,RIVERBANK,1700 OLD COUNTY ROAD ,POCAHONTAS,AR,72455,51,94062
31/12/2021,29636,12204,0,10889,65302154,"CITIZENS BANK OF PHILADELPHIA, THE",521 MAIN STREET ,PHILADELPHIA,MS,39350,51,1360976
31/12/2021,29878,30303,705138,5138,221472792,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,56-18 69TH ST ,MASPETH,NY,11378,41,2207009
31/12/2021,30052,26658,0,0,111316829,AMISTAD BANK,1301 VETERANS BLVD ,DEL RIO,TX,788403621,51,46101
31/12/2021,30502,14240,0,0,11700425,NORTHWAY BANK,9 MAIN STREET ,BERLIN,NH,3570,51,1242690
31/12/2021,30650,8193,0,0,91008299,LAKE COMMUNITY BANK,1964 W. WAYZATA BLVD. ,LONG LAKE,MN,55356,51,155309
31/12/2021,30810,5649,0,0,31100649,DISCOVER BANK,502 EAST MARKET STREET ,GREENWOOD,DE,19950,31,
31/12/2021,31134,2160,7899,11878,61202245,"FIRST NATIONAL BANK OF WAYNESBORO, THE",626 LIBERTY ST ,WAYNESBORO,GA,30830,41,199035
31/12/2021,31255,17612,0,0,113001077,CENTRAL BANK,11201 CLAY ROAD ,HOUSTON,TX,770415578,41,889547
31/12/2021,31657,11904,0,0,111909443,"FIRST STATE BANK OF BEN WHEELER, TEXAS",14269 STATE HWY 64 ,BEN WHEELER,TX,75754,51,192266
31/12/2021,31826,6863,9924,14630,51403818,POWELL VALLEY NATIONAL BANK,33785 MAIN STREET ,JONESVILLE,VA,24263,41,430420
31/12/2021,31835,8243,0,9803,65302675,BANK OF ANGUILLA,130 HOLLAND STREET ,ANGUILLA,MS,38721,51,175805
31/12/2021,32234,3639,1926,0,71103952,FIRST NATIONAL BANK AND TRUST COMPANY,2 KELLI COURT ,CLINTON,IL,61727,51,421079
31/12/2021,32766,21693,0,0,111906048,LAKESIDE BANK,2805 RIDGE ROAD ,ROCKWALL,TX,75032,51,191257
31/12/2021,32971,28894,702578,2578,274970607,SECURITY FEDERAL SAVINGS BANK,314 FOURTH STREET ,LOGANSPORT,IN,46947,51,353774
31/12/2021,33147,1027,0,0,84101051,FARMERS BANK AND TRUST COMPANY,400 WEST MAIN STREET ,BLYTHEVILLE,AR,72315,51,319474
31/12/2021,33259,21714,0,0,96005093,PREMIER BANK,2866 WHITE BEAR AVE. ,MAPLEWOOD,MN,55109,51,1044259
31/12/2021,33268,1213,0,0,111307485,"ROSCOE STATE BANK, THE",117 CYPRESS STREET ,ROSCOE,TX,79545,51,213700
31/12/2021,33370,31723,707384,7384,242170374,"HOME SAVINGS BANK, FSB",202 ELM STREET ,LUDLOW,KY,41016,51,26160
31/12/2021,33839,10075,0,0,71112354,PEOPLES STATE BANK OF COLFAX,101 WEST MAIN STREET ,COLFAX,IL,61728,51,40039
31/12/2021,33857,15545,0,0,104913381,FRONTIER BANK,"13333 CALIFORNIA ST, SUITE 100 ",OMAHA,NE,68154,41,1106372
31/12/2021,34434,22081,0,15636,65302468,MAGNOLIA STATE BANK,28 HIGHWAY 528 ,BAY SPRINGS,MS,39422,51,416112
31/12/2021,34537,131,14838,15273,67005158,SEACOAST NATIONAL BANK,815 COLORADO AVENUE ,STUART,FL,34994,41,9681906
31/12/2021,34555,14695,0,0,81507014,MA BANK,1513 NORTH MISSOURI STREET ,MACON,MO,63552,41,353589
31/12/2021,34742,13083,0,0,82901952,FIRST WESTERN BANK,80 WEST MAIN STREET ,BOONEVILLE,AR,72927,51,539200
31/12/2021,35057,1946,0,0,81506390,ALLIANT BANK,101 EAST BROADWAY ,MADISON,MO,65263,41,200773
31/12/2021,35301,14,0,0,11000028,STATE STREET BANK AND TRUST COMPANY,ONE LINCOLN STREET ,BOSTON,MA,2111,31,
31/12/2021,35570,28892,0,0,221272031,INVESTORS BANK,101 JOHN F KENNEDY PARKWAY ,SHORT HILLS,NJ,7078,41,27781823
31/12/2021,35646,11235,0,0,75904597,BONDUEL STATE BANK,130 NORTH CECIL STREET ,BONDUEL,WI,54107,51,94287
31/12/2021,35879,30313,0,0,275971029,EAST WISCONSIN SAVINGS BANK,109 WEST SECOND STREET ,KAUKAUNA,WI,54130,51,291297
31/12/2021,36456,15907,0,0,104113408,COMMUNITY FIRST BANK,122 S. COMMERCIAL ST ,MAYWOOD,NE,69038,51,129132
31/12/2021,36933,19163,0,14828,61101113,FIRST STATE BANK,300 BROAD STREET ,WRENS,GA,30833,51,310062
31/12/2021,37051,13030,0,0,91809524,OAKWOOD BANK,40214 SOUTH EKERN AVENUE ,PIGEON FALLS,WI,54760,51,112498
31/12/2021,37341,21085,0,0,75907743,BANK OF ONTARIO,315 MAIN STREET ,ONTARIO,WI,54651,51,68600
31/12/2021,37435,172,0,10091,61107515,UNITED BANK,685 GRIFFIN STREET ,ZEBULON,GA,30295,51,2281919
31/12/2021,37640,17393,0,0,83904563,GERMAN AMERICAN BANK,711 MAIN STREET ,JASPER,IN,47546,41,5596059
31/12/2021,37659,12758,0,0,103111977,"FARMERS STATE BANK, ALLEN, OKLAHOMA",201 EAST BROADWAY ,ALLEN,OK,74825,41,46822
31/12/2021,37949,11711,0,0,71119289,BANK OF RANTOUL,201 EAST CHAMPAIGN AVENUE ,RANTOUL,IL,61866,51,248620
31/12/2021,38740,13112,0,0,74912865,OWEN COUNTY STATE BANK,201 WEST MORGAN STREET ,SPENCER,IN,47460,51,345463
31/12/2021,39327,5874,0,0,52101012,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",24 NORTH MAIN STREET ,BERLIN,MD,21811,51,903080
31/12/2021,39756,4032,0,0,103112523,NBC OKLAHOMA,13401 NORTH PENNSYLVANIA ,OKLAHOMA CITY,OK,73120,41,840734
31/12/2021,40033,11817,0,17580,65303810,RICHTON BANK & TRUST COMPANY,114 S. FRONT STREET ,RICHTON,MS,39476,51,60263
31/12/2021,40499,59070,0,0,211381372,HARBORONE BANK,770 OAK STREET ,BROCKTON,MA,2301,41,4471982
31/12/2021,40855,10980,0,0,91207317,ESB BANK,115 HIGHWAY 44 ,CALEDONIA,MN,55921,51,153762
31/12/2021,41553,12283,0,0,103101505,FIRST STATE BANK,102 WEST MAIN STREET ,ANADARKO,OK,73005,51,127002
31/12/2021,41629,6913,0,15369,51404325,PIONEER BANK,252 E MAIN STREET ,STANLEY,VA,22851,51,285875
31/12/2021,41825,14017,0,0,55001258,MIDDLETOWN VALLEY BANK,24 WEST MAIN STREET ,MIDDLETOWN,MD,21769,51,812706
31/12/2021,41955,5447,0,0,104102985,BANK OF NEWMAN GROVE,416 HALE AVENUE ,NEWMAN GROVE,NE,68758,51,36137
31/12/2021,42037,70,0,0,62102593,PEOPLES EXCHANGE BANK,2013 HIGHWAY 21 BYPASS ,MONROEVILLE,AL,36460,51,94001
31/12/2021,42354,3110,8573,0,111303489,"COMMERCIAL NATIONAL BANK OF BRADY, THE",105 E. 2ND STREET ,BRADY,TX,76825,51,210265
31/12/2021,42372,30315,705153,5153,253170884,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,320 EAST MAIN STREET ,LINCOLNTON,NC,28092,51,451164
31/12/2021,42420,7468,0,0,43306826,FIRST COMMONWEALTH BANK,600 PHILADELPHIA ST ,INDIANA,PA,15701,41,9521721
31/12/2021,42448,3887,10004,0,84100793,FIRST NATIONAL BANK,200 WEST COURT STREET ,PARAGOULD,AR,72450,41,2374597
31/12/2021,42457,12246,0,0,104102642,COMMERCIAL BANK,401 SOUTH MAIN STREET ,NELSON,NE,68961,51,58979
31/12/2021,43052,9036,0,0,91510075,SECURITY STATE BANK,7865 U.S. HIGHWAY 2 ,IRON RIVER,WI,54847,51,136081
31/12/2021,43351,17685,0,0,101106528,PEOPLES STATE BANK,2401 N SETH CHILD ROAD ,MANHATTAN,KS,66502,51,434572
31/12/2021,43856,5141,6991,0,91200848,"MINERS NATIONAL BANK OF EVELETH, THE",401 GRANT AVENUE ,EVELETH,MN,55734,51,91425
31/12/2021,43959,18155,0,0,113123528,BRIDGE CITY STATE BANK,701 W. ROUNDBUNCH ,BRIDGE CITY,TX,77611,51,214973
31/12/2021,44040,4364,9784,0,74908426,"FIRST NATIONAL BANK OF MONTEREY, THE",6222 EAST MAIN STREET ,MONTEREY,IN,46960,51,402852
31/12/2021,44433,25258,18283,14891,67011812,"INTERCREDIT BANK, NATIONAL ASSOCIATION",4725 SOUTHWEST 8TH STREET ,MIAMI,FL,33134,41,454261
31/12/2021,44741,9647,0,0,74905225,CITIZENS BANK,33 NORTH INDIANA STREET ,MOORESVILLE,IN,46158,51,637555
31/12/2021,44750,16126,0,0,81518139,CITIZENS BANK OF THE MIDWEST,1515 MARTIN SPRINGS DRIVE ,ROLLA,MO,65401,51,179183
31/12/2021,44929,6637,46,0,44106384,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",86 NORTH KENNEBEC AVENUE ,MCCONNELSVILLE,OH,43756,41,197127
31/12/2021,45038,5740,0,0,71112503,STATE BANK OF DAVIS,100 IL ROUTE 75 ,DAVIS,IL,61019,41,170863
31/12/2021,45047,14534,14209,0,82902074,"FIRST NATIONAL BANK AT PARIS, THE",11 EAST MAIN STREET ,PARIS,AR,72855,51,234774
31/12/2021,45056,9818,0,0,104908134,PLATTE VALLEY BANK,606 MAIN ,NORTH BEND,NE,68649,51,105693
31/12/2021,45430,22070,0,0,64202873,JOHNSON COUNTY BANK,241 WEST MAIN STREET ,MOUNTAIN CITY,TN,37683,51,147857
31/12/2021,45458,17927,0,0,101109130,VINTAGE BANK KANSAS,101 SOUTH MAIN ,LEON,KS,67074,51,192463
31/12/2021,45551,5170,0,0,73920829,BANK MIDWEST,1525 18TH STREET ,SPIRIT LAKE,IA,51360,51,1234147
31/12/2021,45560,16470,0,0,114000763,JEFFERSON BANK,"1777 NE LOOP 410, SUITE 201 ",SAN ANTONIO,TX,78217,41,2750432
31/12/2021,45775,28908,0,2601,231371692,IRON WORKERS SAVINGS BANK,3333 CONCORD ROAD ,ASTON,PA,19014,51,204786
31/12/2021,46053,1610,0,0,91900559,"STATE BANK OF FARIBAULT, THE",428 CENTRAL AVE. ,FARIBAULT,MN,55021,51,281034
31/12/2021,46941,2765,0,0,83901773,FARMERS BANK AND TRUST COMPANY,111 WEST WASHINGTON ,PRINCETON,KY,42445,51,194936
31/12/2021,47247,5033,0,11837,72410903,"DART BANK, THE",368 SOUTH PARK STREET ,MASON,MI,488540040,41,698469
31/12/2021,47256,27053,0,0,91512594,COMMUNITY FINANCIAL BANK,450 CENTER STREET ,PRENTICE,WI,54556,51,52089
31/12/2021,47452,25065,18162,0,111103333,FIRST NATIONAL BANK OF BENTON,104 SIBLEY DRIVE ,BENTON,LA,71006,51,76197
31/12/2021,47500,18038,0,7619,211770190,CLAREMONT SAVINGS BANK,145 BROAD STREET ,CLAREMONT,NH,3743,51,491324
31/12/2021,48057,4775,0,0,101102645,PRAIRIE BANK OF KANSAS,200 SOUTH MAIN ,STAFFORD,KS,67578,51,128892
31/12/2021,48150,16778,0,0,91916200,FRANKLIN STATE BANK,278 2ND AVE. E. ,FRANKLIN,MN,55333,51,37878
31/12/2021,48374,28905,0,0,282970110,FIRST FINANCIAL BANK,214 NORTH WASHINGTON ,EL DORADO,AR,71730,51,1543558
31/12/2021,48440,9517,0,0,75904856,CLEVELAND STATE BANK,1250 WEST WASHINGTON AVENUE ,CLEVELAND,WI,53015,51,176586
31/12/2021,49054,10212,0,0,91912576,COMMERCE BANK,101 CENTRAL AVENUE SOUTH ,GENEVA,MN,56035,51,267417
31/12/2021,49148,9265,0,0,71105866,RUSHVILLE STATE BANK,100 EAST LAFAYETTE STREET ,RUSHVILLE,IL,62681,51,131664
31/12/2021,49241,19371,15482,0,82901088,"RELYANCE BANK, NATIONAL ASSOCIATION",912 POPLAR STREET ,PINE BLUFF,AR,71601,51,1132006
31/12/2021,49652,16473,0,0,101102438,FIRST BANK,128 SOUTH BROADWAY ,STERLING,KS,67579,51,149783
31/12/2021,49858,26727,0,0,114917157,BANK OF SOUTH TEXAS,1421 EAST NOLANA AVENUE ,MCALLEN,TX,78504,51,139198
31/12/2021,49951,4041,0,0,103110305,"FIRST SECURITY BANK, THE",15 SOUTH DOUGLAS AVENUE ,BEAVER,OK,73932,51,126223
31/12/2021,50144,14561,0,0,83906228,STATE BANK OF MEDORA,24 EAST MAIN STREET ,MEDORA,IN,47260,51,100295
31/12/2021,50461,23242,0,0,121038265,CALIFORNIA PACIFIC BANK,"100 MONTGOMERY STREET, SUITE 2250 ",SAN FRANCISCO,CA,94104,41,83414
31/12/2021,51253,9176,0,0,84307761,APEX BANK,102 EAST MAIN STREET ,CAMDEN,TN,38320,41,971477
