Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,35879,4791
3/31/2022 11:59:59 PM,36456,0
3/31/2022 11:59:59 PM,36933,0
3/31/2022 11:59:59 PM,37051,0
3/31/2022 11:59:59 PM,37341,0
3/31/2022 11:59:59 PM,37435,0
3/31/2022 11:59:59 PM,37640,0
3/31/2022 11:59:59 PM,37659,0
3/31/2022 11:59:59 PM,37949,2690
3/31/2022 11:59:59 PM,38740,30
3/31/2022 11:59:59 PM,39327,5531
3/31/2022 11:59:59 PM,39756,2606
3/31/2022 11:59:59 PM,40033,0
3/31/2022 11:59:59 PM,40499,0
3/31/2022 11:59:59 PM,40855,0
3/31/2022 11:59:59 PM,41553,0
3/31/2022 11:59:59 PM,41629,0
3/31/2022 11:59:59 PM,41825,0
3/31/2022 11:59:59 PM,42037,0
3/31/2022 11:59:59 PM,42354,0
3/31/2022 11:59:59 PM,42372,0
3/31/2022 11:59:59 PM,42420,0
3/31/2022 11:59:59 PM,42448,0
3/31/2022 11:59:59 PM,42457,0
3/31/2022 11:59:59 PM,43052,0
3/31/2022 11:59:59 PM,43351,0
3/31/2022 11:59:59 PM,43856,0
3/31/2022 11:59:59 PM,43959,0
3/31/2022 11:59:59 PM,44040,0
3/31/2022 11:59:59 PM,44433,0
3/31/2022 11:59:59 PM,44741,0
3/31/2022 11:59:59 PM,44750,0
3/31/2022 11:59:59 PM,44929,0
3/31/2022 11:59:59 PM,45038,0
3/31/2022 11:59:59 PM,45047,0
3/31/2022 11:59:59 PM,45056,0
3/31/2022 11:59:59 PM,45430,0
3/31/2022 11:59:59 PM,45458,0
3/31/2022 11:59:59 PM,45551,0
3/31/2022 11:59:59 PM,45560,468
3/31/2022 11:59:59 PM,45775,0
3/31/2022 11:59:59 PM,46053,11980
3/31/2022 11:59:59 PM,46941,0
3/31/2022 11:59:59 PM,47247,0
3/31/2022 11:59:59 PM,47256,0
3/31/2022 11:59:59 PM,47452,0
3/31/2022 11:59:59 PM,47500,0
3/31/2022 11:59:59 PM,48057,0
3/31/2022 11:59:59 PM,48150,0
3/31/2022 11:59:59 PM,48374,3286
3/31/2022 11:59:59 PM,48440,1217
3/31/2022 11:59:59 PM,49054,284
3/31/2022 11:59:59 PM,49148,0
3/31/2022 11:59:59 PM,49241,0
3/31/2022 11:59:59 PM,49652,0
3/31/2022 11:59:59 PM,49858,0
3/31/2022 11:59:59 PM,49951,0
3/31/2022 11:59:59 PM,50144,0
3/31/2022 11:59:59 PM,50461,0
3/31/2022 11:59:59 PM,51253,10007
3/31/2022 11:59:59 PM,51356,620
3/31/2022 11:59:59 PM,51459,0
3/31/2022 11:59:59 PM,51842,0
3/31/2022 11:59:59 PM,52719,0
3/31/2022 11:59:59 PM,52951,6384
